engine,distribution,n_threads,n_draws,t_setup,t_sample
curand,uniform,1024,1024,0.00233307,2.743e-05
curand,uniform,1024,2048,0.00233926,4.7281e-05
curand,uniform,1024,4096,0.00233305,8.639e-05
curand,uniform,1024,8192,0.00232979,0.000165209
curand,uniform,1024,16384,0.00233423,0.000322421
curand,uniform,1024,32768,0.0023325,0.000636898
curand,uniform,1024,65536,0.00232837,0.00126722
curand,uniform,1024,131072,0.00231556,0.00222498
curand,uniform,1024,262144,0.0023184,0.00444325
curand,uniform,1024,524288,0.00232591,0.00888065
curand,uniform,1024,1048576,0.00232114,0.0177462
curand,uniform,1024,2097152,0.0023182,0.0353094
curand,uniform,2048,1024,0.00232281,2.4382e-05
curand,uniform,2048,2048,0.00229674,3.3845e-05
curand,uniform,2048,4096,0.00230176,6.1328e-05
curand,uniform,2048,8192,0.00230496,0.000116796
curand,uniform,2048,16384,0.00230971,0.000225778
curand,uniform,2048,32768,0.00230892,0.000464276
curand,uniform,2048,65536,0.00230714,0.000882741
curand,uniform,2048,131072,0.00230537,0.00175829
curand,uniform,2048,262144,0.00230111,0.00350977
curand,uniform,2048,524288,0.00230495,0.00701244
curand,uniform,2048,1048576,0.00230677,0.0140183
curand,uniform,2048,2097152,0.00230571,0.0280263
curand,uniform,4096,1024,0.00231295,2.0538e-05
curand,uniform,4096,2048,0.00231256,3.4314e-05
curand,uniform,4096,4096,0.00231573,6.2087e-05
curand,uniform,4096,8192,0.00231098,0.000116663
curand,uniform,4096,16384,0.00231349,0.000226786
curand,uniform,4096,32768,0.00230858,0.000445803
curand,uniform,4096,65536,0.00231784,0.000884648
curand,uniform,4096,131072,0.00237676,0.00176047
curand,uniform,4096,262144,0.00230956,0.00351442
curand,uniform,4096,524288,0.0023085,0.00701928
curand,uniform,4096,1048576,0.00231254,0.0140267
curand,uniform,4096,2097152,0.0023062,0.0280477
curand,uniform,8192,1024,0.00231854,2.1279e-05
curand,uniform,8192,2048,0.00231588,3.5092e-05
curand,uniform,8192,4096,0.00231928,6.2464e-05
curand,uniform,8192,8192,0.00232203,0.000119168
curand,uniform,8192,16384,0.00231564,0.000227911
curand,uniform,8192,32768,0.00232042,0.000448815
curand,uniform,8192,65536,0.00232884,0.000890132
curand,uniform,8192,131072,0.0023138,0.00176769
curand,uniform,8192,262144,0.00232373,0.00352306
curand,uniform,8192,524288,0.00231299,0.00703097
curand,uniform,8192,1048576,0.00231859,0.0140441
curand,uniform,8192,2097152,0.00231203,0.0280697
curand,uniform,16384,1024,0.00236689,3.0294e-05
curand,uniform,16384,2048,0.00235074,5.2001e-05
curand,uniform,16384,4096,0.00235949,9.5224e-05
curand,uniform,16384,8192,0.00235389,0.000182774
curand,uniform,16384,16384,0.00235484,0.000357618
curand,uniform,16384,32768,0.00236587,0.000706379
curand,uniform,16384,65536,0.00235528,0.00140331
curand,uniform,16384,131072,0.00236143,0.00279415
curand,uniform,16384,262144,0.00235938,0.00577666
curand,uniform,16384,524288,0.00236252,0.0111299
curand,uniform,16384,1048576,0.00242659,0.0239943
curand,uniform,16384,2097152,0.00235493,0.0560354
curand,uniform,32768,1024,0.00283173,4.7463e-05
curand,uniform,32768,2048,0.00286925,8.4867e-05
curand,uniform,32768,4096,0.00287376,0.000160493
curand,uniform,32768,8192,0.00281158,0.00031153
curand,uniform,32768,16384,0.00281428,0.000613597
curand,uniform,32768,32768,0.00280869,0.00121584
curand,uniform,32768,65536,0.00281084,0.00242055
curand,uniform,32768,131072,0.00281377,0.00482451
curand,uniform,32768,262144,0.00280966,0.00963806
curand,uniform,32768,524288,0.0028172,0.0192509
curand,uniform,32768,1048576,0.00281522,0.0384933
curand,uniform,32768,2097152,0.00281964,0.0843838
curand,uniform,65536,1024,0.00432362,0.000300998
curand,uniform,65536,2048,0.00419356,0.000154346
curand,uniform,65536,4096,0.00428065,0.000431024
curand,uniform,65536,8192,0.00428952,0.0010882
curand,uniform,65536,16384,0.00425582,0.00116351
curand,uniform,65536,32768,0.00423503,0.00231325
curand,uniform,65536,65536,0.00423934,0.00460982
curand,uniform,65536,131072,0.00418419,0.0092008
curand,uniform,65536,262144,0.00420654,0.018378
curand,uniform,65536,524288,0.00428614,0.0384744
curand,uniform,65536,1048576,0.0042961,0.0860383
curand,uniform,65536,2097152,0.00421484,0.163858
curand,uniform,131072,1024,0.00840951,0.000149724
curand,uniform,131072,2048,0.00839404,0.000288206
curand,uniform,131072,4096,0.00836642,0.000574644
curand,uniform,131072,8192,0.00830802,0.0011205
curand,uniform,131072,16384,0.00838025,0.0022257
curand,uniform,131072,32768,0.00836189,0.00443403
curand,uniform,131072,65536,0.00843347,0.00884909
curand,uniform,131072,131072,0.00831691,0.0176726
curand,uniform,131072,262144,0.00841341,0.03657
curand,uniform,131072,524288,0.00845071,0.0775835
curand,uniform,131072,1048576,0.00836277,0.155881
curand,uniform,131072,2097152,0.00868059,0.316442
curand,uniform,262144,1024,0.0219341,0.000276893
curand,uniform,262144,2048,0.0219401,0.000541984
curand,uniform,262144,4096,0.0219233,0.00107012
curand,uniform,262144,8192,0.0220409,0.00212532
curand,uniform,262144,16384,0.0219532,0.00423165
curand,uniform,262144,32768,0.0220128,0.00862063
curand,uniform,262144,65536,0.0219021,0.0169558
curand,uniform,262144,131072,0.0226916,0.0359708
curand,uniform,262144,262144,0.0218954,0.0751234
curand,uniform,262144,524288,0.0219358,0.150134
curand,uniform,262144,1048576,0.0218688,0.30371
curand,uniform,262144,2097152,0.0218741,0.608774
curand,uniform,524288,1024,0.607349,0.000538764
curand,uniform,524288,2048,0.602252,0.00105421
curand,uniform,524288,4096,0.60167,0.00207734
curand,uniform,524288,8192,0.660522,0.00452747
curand,uniform,524288,16384,0.680993,0.00931433
curand,uniform,524288,32768,0.602774,0.0164981
curand,uniform,524288,65536,0.605297,0.0340496
curand,uniform,524288,131072,0.610477,0.0676972
curand,uniform,524288,262144,0.60459,0.15065
curand,uniform,524288,524288,0.64818,0.333999
curand,uniform,524288,1048576,0.681348,0.675605
curand,uniform,524288,2097152,0.600012,1.20964
curand,uniform,1048576,1024,1.78663,0.00104854
curand,uniform,1048576,2048,1.78528,0.0020707
curand,uniform,1048576,4096,1.78801,0.00411561
curand,uniform,1048576,8192,1.78567,0.00819929
curand,uniform,1048576,16384,1.94335,0.0165381
curand,uniform,1048576,32768,1.83796,0.0356321
curand,uniform,1048576,65536,1.82617,0.0734505
curand,uniform,1048576,131072,1.79042,0.150779
curand,uniform,1048576,262144,1.79419,0.301011
curand,uniform,1048576,524288,1.81054,0.611207
curand,uniform,1048576,1048576,1.79531,1.24865
curand,uniform,1048576,2097152,1.82567,2.55772
curand,uniform,2097152,1024,4.23841,0.00210121
curand,uniform,2097152,2048,4.22861,0.00416649
curand,uniform,2097152,4096,4.63209,0.00829761
curand,uniform,2097152,8192,4.5756,0.0188379
curand,uniform,2097152,16384,4.64733,0.0365644
curand,uniform,2097152,32768,4.54411,0.0802151
curand,uniform,2097152,65536,4.60826,0.156577
curand,uniform,2097152,131072,4.22359,0.309452
curand,uniform,2097152,262144,4.45307,0.658925
curand,uniform,2097152,524288,4.41786,1.25095
curand,uniform,2097152,1048576,4.29034,2.50331
curand,uniform,2097152,2097152,4.29505,5.37481
dust,uniform,1024,1024,0.000258826,2.586e-05
